               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.016727,           0.0038257,           0.0008367,             0.99589,                   1,               0.995,             0.81552,            0.014699,           0.0023967,          0.00034421,            0.002179,            0.002179,            0.002179
                  81,            0.017103,           0.0039411,           0.0010116,             0.99661,                   1,               0.995,             0.81984,            0.014538,           0.0024075,          0.00034685,             0.00208,             0.00208,             0.00208
                  82,            0.016783,            0.003897,          0.00095629,             0.99659,                   1,               0.995,              0.8173,            0.014772,           0.0024232,          0.00031882,            0.001981,            0.001981,            0.001981
                  83,            0.016801,           0.0037884,          0.00086002,             0.99641,                   1,               0.995,             0.82026,            0.014463,           0.0023944,          0.00030928,            0.001882,            0.001882,            0.001882
                  84,            0.016593,           0.0038665,          0.00089142,             0.99628,                   1,               0.995,             0.81707,            0.014633,           0.0024116,          0.00029165,            0.001783,            0.001783,            0.001783
                  85,            0.016855,           0.0037271,           0.0009003,             0.99693,             0.99991,               0.995,             0.82807,            0.014458,           0.0023751,          0.00029726,            0.001684,            0.001684,            0.001684
                  86,            0.016154,           0.0037875,          0.00083987,             0.99671,             0.99954,               0.995,             0.82044,            0.014449,           0.0023833,          0.00029571,            0.001585,            0.001585,            0.001585
                  87,            0.016528,           0.0037247,          0.00097171,             0.99619,                   1,               0.995,             0.83024,            0.014434,           0.0023632,          0.00029024,            0.001486,            0.001486,            0.001486
                  88,            0.016163,           0.0037487,          0.00083184,             0.99695,                   1,               0.995,              0.8229,            0.014552,           0.0023611,           0.0002793,            0.001387,            0.001387,            0.001387
                  89,            0.015708,           0.0038191,          0.00072034,             0.99632,             0.99934,               0.995,             0.82081,             0.01454,            0.002394,          0.00025255,            0.001288,            0.001288,            0.001288
                  90,            0.016204,           0.0038201,          0.00084027,             0.99716,                   1,               0.995,               0.822,            0.014387,           0.0023823,          0.00024028,            0.001189,            0.001189,            0.001189
                  91,            0.015956,           0.0037336,          0.00085052,              0.9969,                   1,               0.995,             0.81925,            0.014309,           0.0023577,          0.00023366,             0.00109,             0.00109,             0.00109
                  92,            0.015896,           0.0037518,          0.00082954,             0.99707,              0.9999,               0.995,             0.82399,            0.014312,           0.0023708,          0.00020326,            0.000991,            0.000991,            0.000991
                  93,            0.015746,           0.0037044,          0.00067302,             0.99718,                   1,               0.995,             0.81793,             0.01451,           0.0023633,          0.00019808,            0.000892,            0.000892,            0.000892
                  94,            0.015787,           0.0037626,          0.00061466,             0.99698,                   1,               0.995,             0.82522,            0.014188,           0.0023499,          0.00019536,            0.000793,            0.000793,            0.000793
                  95,            0.015676,           0.0037302,          0.00075096,               0.997,                   1,               0.995,             0.82373,            0.014263,           0.0023526,          0.00018368,            0.000694,            0.000694,            0.000694
                  96,             0.01555,           0.0036377,          0.00075715,             0.99692,             0.99993,               0.995,             0.82525,            0.014318,           0.0023562,          0.00017526,            0.000595,            0.000595,            0.000595
                  97,            0.015319,           0.0036733,          0.00073255,              0.9968,                   1,               0.995,             0.82114,            0.014156,           0.0023427,          0.00016347,            0.000496,            0.000496,            0.000496
                  98,             0.01547,           0.0037316,          0.00071686,             0.99681,             0.99993,               0.995,             0.82267,            0.014161,           0.0023444,          0.00015982,            0.000397,            0.000397,            0.000397
                  99,            0.015231,            0.003633,          0.00061375,             0.99675,                   1,               0.995,             0.82457,            0.014137,           0.0023619,           0.0001563,            0.000298,            0.000298,            0.000298
