                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2873,                0.65662,                0.93197,                0.98493,                0.99194,                0.99318,                0.65354,                 1.2921,                0.55162,                0.90948,               0.002179,               0.002179,               0.002179
                     81,                   1.29,                0.65013,                0.93148,                0.99304,                0.99231,                0.99374,                0.65832,                 1.2983,                0.54099,                0.91322,                0.00208,                0.00208,                0.00208
                     82,                 1.2773,                0.64393,                0.92687,                0.99421,                0.99119,                0.99492,                0.65863,                 1.2949,                0.55022,                0.91051,               0.001981,               0.001981,               0.001981
                     83,                 1.2807,                0.64019,                0.92635,                0.99528,                0.99443,                0.99492,                0.65826,                 1.2903,                0.53097,                0.91045,               0.001882,               0.001882,               0.001882
                     84,                 1.2827,                0.64489,                0.93504,                0.98837,                0.99722,                  0.995,                0.65433,                 1.2969,                0.53459,                0.91218,               0.001783,               0.001783,               0.001783
                     85,                 1.2643,                0.62773,                0.91823,                0.99293,                0.99012,                0.99483,                0.66446,                 1.2691,                0.51877,                0.90749,               0.001684,               0.001684,               0.001684
                     86,                 1.2668,                0.63444,                0.91833,                0.99114,                0.99347,                  0.995,                0.66292,                 1.2704,                0.52691,                0.90615,               0.001585,               0.001585,               0.001585
                     87,                 1.2456,                 0.6161,                0.92057,                0.99338,                0.99394,                0.99484,                0.66567,                 1.2706,                0.52875,                 0.9094,               0.001486,               0.001486,               0.001486
                     88,                  1.245,                0.60712,                0.91879,                0.99524,                0.99599,                  0.995,                0.66904,                 1.2657,                0.52034,                0.90528,               0.001387,               0.001387,               0.001387
                     89,                 1.2396,                0.61215,                0.91624,                0.99069,                0.99677,                  0.995,                0.65849,                  1.281,                0.52296,                0.90929,               0.001288,               0.001288,               0.001288
                     90,                  1.251,                0.60982,                0.93007,                0.98986,                0.99729,                0.99484,                0.66842,                 1.2517,                0.51669,                0.90521,               0.001189,               0.001189,               0.001189
                     91,                 1.2083,                0.58619,                 0.9384,                0.99089,                0.99401,                0.99492,                0.67107,                 1.2592,                0.51181,                0.90312,                0.00109,                0.00109,                0.00109
                     92,                  1.218,                 0.5784,                0.93168,                0.98507,                0.98592,                0.99467,                0.66683,                 1.2518,                0.52522,                0.90464,               0.000991,               0.000991,               0.000991
                     93,                 1.1957,                0.56875,                0.92508,                0.98792,                0.99321,                0.99348,                0.65756,                 1.2671,                0.52145,                0.90409,               0.000892,               0.000892,               0.000892
                     94,                 1.1843,                0.56308,                0.92491,                 0.9838,                0.99402,                0.99452,                0.67466,                 1.2448,                0.50898,                0.90044,               0.000793,               0.000793,               0.000793
                     95,                 1.1893,                0.56656,                0.92773,                0.99555,                0.99581,                0.99492,                0.67266,                 1.2459,                0.51184,                0.90032,               0.000694,               0.000694,               0.000694
                     96,                 1.1745,                 0.5529,                0.93162,                0.99519,                0.99362,                0.99477,                0.66845,                 1.2478,                0.50765,                0.90049,               0.000595,               0.000595,               0.000595
                     97,                   1.18,                0.55163,                0.92594,                0.99634,                0.99571,                0.99464,                0.66865,                 1.2491,                0.50585,                 0.9021,               0.000496,               0.000496,               0.000496
                     98,                 1.1691,                0.54817,                0.92335,                0.99352,                0.99588,                0.99492,                0.66659,                 1.2514,                0.50607,                0.90068,               0.000397,               0.000397,               0.000397
                     99,                 1.1782,                0.55209,                0.92676,                0.99504,                0.99008,                0.99492,                0.67429,                 1.2427,                0.50547,                0.90075,               0.000298,               0.000298,               0.000298
                    100,                 1.1495,                0.54422,                0.91961,                0.99537,                0.99122,                0.99492,                0.67269,                 1.2459,                0.50162,                0.90022,               0.000199,               0.000199,               0.000199
