               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.028824,           0.0042992,           0.0038975,              0.9842,             0.98439,             0.98964,             0.61238,            0.024838,           0.0027722,          0.00086541,            0.001486,            0.001486,            0.001486
                  88,            0.029652,              0.0043,           0.0042879,             0.98251,             0.98344,             0.98749,             0.60828,            0.025041,           0.0027809,          0.00085587,            0.001387,            0.001387,            0.001387
                  89,            0.029196,           0.0042055,           0.0040782,             0.98364,             0.98239,             0.98629,             0.60932,            0.024344,           0.0027788,          0.00096629,            0.001288,            0.001288,            0.001288
                  90,            0.028601,           0.0043965,           0.0039443,             0.98786,             0.99216,              0.9898,             0.60597,             0.02396,           0.0027312,          0.00074085,            0.001189,            0.001189,            0.001189
                  91,            0.028309,           0.0041457,           0.0040013,             0.97833,             0.98679,             0.98729,             0.61377,            0.024543,           0.0027221,          0.00092759,             0.00109,             0.00109,             0.00109
                  92,            0.029159,           0.0042396,           0.0037454,             0.98653,              0.9856,             0.99057,             0.61605,            0.023789,           0.0027444,          0.00077101,            0.000991,            0.000991,            0.000991
                  93,            0.028096,           0.0042677,           0.0034785,             0.98662,             0.98545,             0.99016,             0.62096,            0.023593,            0.002727,          0.00060134,            0.000892,            0.000892,            0.000892
                  94,            0.028631,           0.0042546,           0.0037723,             0.98784,             0.98497,             0.99442,             0.61378,            0.023809,           0.0027324,          0.00064341,            0.000793,            0.000793,            0.000793
                  95,            0.027562,           0.0042264,           0.0038746,              0.9891,             0.98649,             0.99361,             0.61617,            0.023978,           0.0027274,          0.00062538,            0.000694,            0.000694,            0.000694
                  96,             0.02817,           0.0043138,           0.0033781,             0.99476,             0.98685,             0.99371,              0.6185,            0.023734,           0.0027295,          0.00058759,            0.000595,            0.000595,            0.000595
                  97,            0.027527,           0.0043143,           0.0028922,             0.98968,             0.98299,             0.98933,             0.62384,            0.023307,           0.0027325,          0.00052139,            0.000496,            0.000496,            0.000496
                  98,            0.028009,           0.0041954,            0.003064,             0.98257,             0.98452,             0.98715,             0.61511,             0.02404,           0.0027215,          0.00053065,            0.000397,            0.000397,            0.000397
                  99,            0.027846,           0.0042827,           0.0034506,             0.98762,             0.98172,             0.98966,             0.62127,            0.023258,           0.0027168,          0.00051007,            0.000298,            0.000298,            0.000298
